ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0045785	positive regulation of cell adhesion	36/425	403/18670	2.76605668728693e-12	9.73705147322832e-11	7.12791530954709e-11	CD74/HLA-DPB1/HLA-E/HLA-G/CXCL13/S100A10/CCL5/TNFSF11/KLRK1/ILK/IL7R/CD40LG/PDCD1/TNFSF4/CCL19/CCR7/CCL21/CCL25/CD86/VAV1/CARD11/BCL10/PTAFR/BMP7/CD70/EPO/MDK/TNFSF9/IL2RA/SDC4/TNFRSF18/LCK/CD3E/CD28/ICOS/CTLA4	36
BP	GO:0002237	response to molecule of bacterial origin	33/425	343/18670	3.10620609619879e-12	1.08303052554131e-10	7.92822127410738e-11	LTA/HAMP/PPBP/SLPI/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/DEFA3/LCN2/S100A14/IDO1/F2R/CCL5/NOS2/KLRK1/PTGS2/CD14/TNFSF4/CCR7/CD86/BCL10/PTAFR/CSF2/EPO/IL1RN/IL24/CSF2RB/IL12RB2/PTGER2/TNFRSF1B	33
BP	GO:0002706	regulation of lymphocyte mediated immunity	22/425	149/18670	3.33446324101276e-12	1.15164810616488e-10	8.43052970369265e-11	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/LTA/ULBP3/ULBP2/RAET1L/KLRK1/IL7R/TNFSF4/VAV1/IL20RB/TNFRSF1B/NCR3/SH2D1A/CD28	22
BP	GO:0001909	leukocyte mediated cytotoxicity	19/425	107/18670	3.55734007064215e-12	1.21714224286177e-10	8.90997326104763e-11	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/ULBP3/ULBP2/RAET1L/NOS2/F2RL1/KLRK1/IL7R/VAV1/NCR3/SH2D1A	19
BP	GO:0042098	T cell proliferation	24/425	184/18670	5.28957606548853e-12	1.79306833108829e-10	1.31259850513975e-10	HLA-DPB1/HLA-E/HLA-G/IDO1/CCL5/CD40LG/PIK3CG/TNFSF4/CCL19/CD86/RAC2/CARD11/BMP4/CD70/EPO/TNFSF9/IL20RB/IL2RA/SDC4/TNFRSF1B/TNFRSF21/CD3E/CD28/CTLA4	24
BP	GO:0046651	lymphocyte proliferation	29/425	272/18670	5.39841601152054e-12	1.81317440533731e-10	1.32731696430046e-10	CD74/HLA-DPB1/HLA-E/HLA-G/IDO1/CCL5/IL7R/CD40LG/PIK3CG/TNFSF4/CCL19/CD86/CD79A/RAC2/CARD11/BMP4/CD70/EPO/IFNE/IFNK/TNFSF9/IL20RB/IL2RA/SDC4/TNFRSF1B/TNFRSF21/CD3E/CD28/CTLA4	29
BP	GO:0050852	T cell receptor signaling pathway	25/425	202/18670	6.18152787049198e-12	2.05732486671556e-10	1.5060449720835e-10	HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/PSMC1/PSMD6/CCR7/CARD11/BCL10/PIK3R2/TNFRSF21/LCK/LAT/CD3D/CD3E/CD3G/CD28/CTLA4/TRAC/TRAV8-4/TRAV19/TRAV29DV5/TRBV7-9	25
BP	GO:0032943	mononuclear cell proliferation	29/425	274/18670	6.47880473238402e-12	2.13683820948269e-10	1.56425195340443e-10	CD74/HLA-DPB1/HLA-E/HLA-G/IDO1/CCL5/IL7R/CD40LG/PIK3CG/TNFSF4/CCL19/CD86/CD79A/RAC2/CARD11/BMP4/CD70/EPO/IFNE/IFNK/TNFSF9/IL20RB/IL2RA/SDC4/TNFRSF1B/TNFRSF21/CD3E/CD28/CTLA4	29
BP	GO:0002690	positive regulation of leukocyte chemotaxis	17/425	87/18670	9.90072058877358e-12	3.23629804245536e-10	2.36910099802796e-10	CD74/CXCL14/CXCL8/CXCL10/CXCL13/S100A14/CCL5/F2RL1/CCL19/CCR7/CCL21/CCL7/CCR1/XCL2/RAC2/MDK/VEGFC	17
BP	GO:0019882	antigen processing and presentation	26/425	226/18670	1.24866864700356e-11	4.04546541299118e-10	2.96144422475181e-10	CD1A/CD1C/CD1E/CD74/CTSE/CTSS/HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/HLA-H/PSMC1/PSMD6/IFI30/CYBB/CCL19/CCR7/CCL21	26
BP	GO:0002475	antigen processing and presentation via MHC class Ib	9/425	16/18670	1.49915375717877e-11	4.81438763599252e-10	3.52432637652553e-10	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H	9
BP	GO:0019883	antigen processing and presentation of endogenous antigen	10/425	22/18670	1.70394243343091e-11	5.42446369460049e-10	3.9709267144303e-10	CD1A/CD1C/CD1E/CD74/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H	10
BP	GO:0071347	cellular response to interleukin-1	23/425	179/18670	2.02064119808317e-11	6.37721329843319e-10	4.66837794039906e-10	PSMC1/PSMD6/CXCL8/CCL13/CCL8/LCN2/CCL20/CCL5/IL1A/CCL15/CCL14/CCL19/CCL18/CCL17/CCL26/CCL22/CCL21/CCL7/CCL25/CCL24/XCL2/IL1RN/IL1R2	23
BP	GO:0019884	antigen processing and presentation of exogenous antigen	23/425	182/18670	2.85311026701537e-11	8.92755272439597e-10	6.53532950051385e-10	CD1A/CD1C/CD1E/CD74/CTSE/CTSS/HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/HLA-H/PSMC1/PSMD6/IFI30/CYBB	23
BP	GO:0001913	T cell mediated cytotoxicity	13/425	49/18670	4.58358042726946e-11	1.42207524951131e-09	1.04101657161713e-09	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/ULBP3/ULBP2/RAET1L/IL7R	13
BP	GO:0070555	response to interleukin-1	24/425	207/18670	6.62279838096932e-11	2.03748444308644e-09	1.49152097991578e-09	PSMC1/PSMD6/CXCL8/CCL13/CCL8/LCN2/CCL20/CCL5/IL1A/CCL15/CCL14/CCL19/CCL18/CCL17/CCL26/CCL22/CCL21/CCL7/CCL25/CCL24/XCL2/EPO/IL1RN/IL1R2	24
BP	GO:0050670	regulation of lymphocyte proliferation	24/425	208/18670	7.33173930120639e-11	2.23679146514305e-09	1.63742177726943e-09	CD74/HLA-DPB1/HLA-E/HLA-G/IDO1/CCL5/CD40LG/TNFSF4/CCL19/CD86/RAC2/CARD11/BMP4/CD70/EPO/TNFSF9/IL20RB/IL2RA/SDC4/TNFRSF1B/TNFRSF21/CD3E/CD28/CTLA4	24
BP	GO:0032944	regulation of mononuclear cell proliferation	24/425	209/18670	8.11150602372585e-11	2.45423335147606e-09	1.79659802839548e-09	CD74/HLA-DPB1/HLA-E/HLA-G/IDO1/CCL5/CD40LG/TNFSF4/CCL19/CD86/RAC2/CARD11/BMP4/CD70/EPO/TNFSF9/IL20RB/IL2RA/SDC4/TNFRSF1B/TNFRSF21/CD3E/CD28/CTLA4	24
BP	GO:0055074	calcium ion homeostasis	36/425	471/18670	2.34011048585426e-10	7.02224958091185e-09	5.14057057548313e-09	CXCL10/CXCL9/CXCL13/CCL13/CCL8/S100A14/F2R/CCL5/FGF2/F2RL1/TNFSF11/PIK3CG/CCL15/CCL14/CCL19/CCR7/CCR8/CCL21/CCL7/CCR1/CXCR4/CCR4/VDR/CXCR3/CXCR5/EDNRA/AGT/CALCB/EPO/KL/REG1A/STC1/APLNR/OXTR/PTGER2/LCK	36
BP	GO:0002456	T cell mediated immunity	17/425	106/18670	2.62957905029442e-10	7.82673894563241e-09	5.72948931283662e-09	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/ULBP3/ULBP2/RAET1L/IL7R/TNFSF4/CD70/IL20RB/TNFRSF1B	17
BP	GO:0048245	eosinophil chemotaxis	9/425	21/18670	3.4811180653944e-10	1.02777203527491e-08	7.52370678649757e-09	CCL13/CCL8/CCL5/CCL15/CCL26/CCL22/CCL7/CCL24/SCG2	9
BP	GO:0071222	cellular response to lipopolysaccharide	22/425	205/18670	1.83617424859531e-09	5.37778713928595e-08	3.93675758898835e-08	HAMP/PPBP/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/DEFA3/LCN2/CCL5/NOS2/KLRK1/CD14/TNFSF4/CD86/BCL10/PTAFR/CSF2/IL1RN/IL24/TNFRSF1B	22
BP	GO:0001914	regulation of T cell mediated cytotoxicity	10/425	33/18670	1.94918417153961e-09	5.66346289841787e-08	4.14588379343346e-08	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/IL7R	10
BP	GO:0072677	eosinophil migration	9/425	25/18670	2.23155777600089e-09	6.43286064404666e-08	4.709114046994e-08	CCL13/CCL8/CCL5/CCL15/CCL26/CCL22/CCL7/CCL24/SCG2	9
BP	GO:0042108	positive regulation of cytokine biosynthetic process	13/425	67/18670	3.05328997387875e-09	8.73288640185165e-08	6.39282588280864e-08	CD74/CYBB/TLR7/TLR8/IL1A/CD86/CARD11/BCL10/PTAFR/EREG/LTB/CD3E/CD28	13
BP	GO:0001916	positive regulation of T cell mediated cytotoxicity	9/425	26/18670	3.3446744728694e-09	9.49213429858518e-08	6.94862603665892e-08	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H	9
BP	GO:0002478	antigen processing and presentation of exogenous peptide antigen	20/425	175/18670	3.38927181807902e-09	9.54471086614408e-08	6.98711420957829e-08	CD74/CTSE/CTSS/HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/HLA-H/PSMC1/PSMD6/IFI30/CYBB	20
BP	GO:0071219	cellular response to molecule of bacterial origin	22/425	212/18670	3.45571294896752e-09	9.65753061539702e-08	7.06970282689539e-08	HAMP/PPBP/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/DEFA3/LCN2/CCL5/NOS2/KLRK1/CD14/TNFSF4/CD86/BCL10/PTAFR/CSF2/IL1RN/IL24/TNFRSF1B	22
BP	GO:0002709	regulation of T cell mediated immunity	13/425	70/18670	5.36911684323691e-09	1.48911642144624e-07	1.09009341968749e-07	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/IL7R/TNFSF4/IL20RB/TNFRSF1B	13
BP	GO:0010818	T cell chemotaxis	9/425	28/18670	7.10062628059277e-09	1.95454081302632e-07	1.4308028896232e-07	CXCL16/CXCL10/CXCL13/CCL5/PIK3CG/CCL26/CCL21/XCL2/CXCR3	9
BP	GO:0048002	antigen processing and presentation of peptide antigen	20/425	189/18670	1.28610281649431e-08	3.51374806804901e-07	2.57220563298863e-07	CD74/CTSE/CTSS/HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/HLA-H/PSMC1/PSMD6/IFI30/CYBB	20
BP	GO:0006874	cellular calcium ion homeostasis	32/425	458/18670	2.10798507459699e-08	5.7165432282219e-07	4.18474074068142e-07	CXCL10/CXCL9/CXCL13/CCL13/CCL8/F2R/CCL5/FGF2/F2RL1/PIK3CG/CCL15/CCL14/CCL19/CCR7/CCR8/CCL21/CCL7/CCR1/CXCR4/CCR4/VDR/CXCR3/CXCR5/EDNRA/AGT/CALCB/EPO/STC1/APLNR/OXTR/PTGER2/LCK	32
BP	GO:0071216	cellular response to biotic stimulus	22/425	236/18670	2.49359047114661e-08	6.71252552563803e-07	4.91384004608302e-07	HAMP/PPBP/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/DEFA3/LCN2/CCL5/NOS2/KLRK1/CD14/TNFSF4/CD86/BCL10/PTAFR/CSF2/IL1RN/IL24/TNFRSF1B	22
BP	GO:0042102	positive regulation of T cell proliferation	14/425	95/18670	3.09495065172073e-08	8.2705214131019e-07	6.0543560194245e-07	HLA-DPB1/HLA-E/CCL5/CD40LG/TNFSF4/CCL19/CD86/CARD11/CD70/EPO/TNFSF9/IL2RA/CD3E/CD28	14
BP	GO:0002717	positive regulation of natural killer cell mediated immunity	9/425	33/18670	3.58405720496483e-08	9.50814016476539e-07	6.96034297775779e-07	HLA-E/HLA-G/ULBP3/ULBP2/RAET1L/KLRK1/VAV1/NCR3/SH2D1A	9
BP	GO:1903532	positive regulation of secretion by cell	29/425	399/18670	4.21680475272543e-08	1.11062749638329e-06	8.13024225705334e-07	HLA-E/PAEP/F2R/TLR8/F2RL1/TNFSF11/IL1A/CD14/TNFSF4/CCL19/IGHD/C5/PTAFR/AGT/APLN/CCK/GIP/INHBA/MDK/NPPA/OSM/RETN/SCT/UCN3/VEGFC/FGFR1/OXTR/SDC1/SDC4	29
BP	GO:0030098	lymphocyte differentiation	27/425	353/18670	4.39266927967675e-08	1.14868301663547e-06	8.40882404966691e-07	CD74/HLA-DOA/HLA-G/IL7R/CD40LG/TNFSF4/CCL19/CCR7/CD86/CD79A/VAV1/CARD11/BMP4/IFNE/IFNK/IL11/INHBA/MDK/TNFSF9/IL2RA/TNFRSF18/LCK/CD3D/CD3E/CD3G/CD28/CTLA4	27
BP	GO:0002507	tolerance induction	8/425	25/18670	5.2001487783467e-08	1.35019465798066e-06	9.8839707276377e-07	HLA-E/HLA-G/IDO1/PDCD1/CCR4/IL2RA/CD3E/ICOS	8
BP	GO:0051047	positive regulation of secretion	30/425	428/18670	5.49843532153114e-08	1.41758955719194e-06	1.03773286350024e-06	HLA-E/PAEP/F2R/TLR8/F2RL1/TNFSF11/IL1A/CD14/TNFSF4/CCL19/IGHD/C5/PTAFR/AGT/APLN/CCK/GIP/INHBA/MDK/NPPA/OSM/PRL/RETN/SCT/UCN3/VEGFC/FGFR1/OXTR/SDC1/SDC4	30
BP	GO:0071624	positive regulation of granulocyte chemotaxis	8/425	26/18670	7.3626738143733e-08	1.88494747093851e-06	1.37985774982661e-06	CD74/CXCL8/S100A14/CCL19/CCR7/CCL21/RAC2/MDK	8
BP	GO:0050729	positive regulation of inflammatory response	17/425	153/18670	7.80517049857394e-08	1.98435619411661e-06	1.45262895390126e-06	HLA-E/LTA/IDO1/TLR7/TNFSF11/PTGS2/PIK3CG/TNFSF4/CCL14/CCL18/CCR7/CCL24/AGT/MDK/NPPA/OSM/CD28	17
BP	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	12/425	73/18670	8.6963277103192e-08	2.19567281017094e-06	1.60732125956244e-06	CAMP/PPBP/REG3G/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/CCL13/DEFA3/REG1A	12
BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	19/425	192/18670	8.77488509679257e-08	2.2003324889971e-06	1.6107323328359e-06	CD74/NOX4/CCL5/AGT/AREG/CCK/CSF2/EGF/EPO/EREG/GH1/GREM1/HBEGF/IL11/IL24/LIF/OSM/TNFRSF18/CD3E	19
BP	GO:0002711	positive regulation of T cell mediated immunity	10/425	48/18670	1.01512329234425e-07	2.52814038998115e-06	1.8507009683555e-06	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/TNFSF4	10
BP	GO:1901623	regulation of lymphocyte chemotaxis	8/425	27/18670	1.02557308148562e-07	2.53690746710734e-06	1.85711882323072e-06	CXCL14/CXCL10/CXCL13/CCL5/KLRK1/CCL21/CCL7/XCL2	8
BP	GO:0070665	positive regulation of leukocyte proliferation	16/425	139/18670	1.1499542572174e-07	2.82549163467981e-06	2.06837410022996e-06	CD74/HLA-DPB1/HLA-E/CCL5/BST2/CD40LG/TNFSF4/CCL19/CD86/CARD11/CD70/EPO/TNFSF9/IL2RA/CD3E/CD28	16
BP	GO:0072503	cellular divalent inorganic cation homeostasis	32/425	493/18670	1.16033988797393e-07	2.83200288658169e-06	2.07314059984675e-06	CXCL10/CXCL9/CXCL13/CCL13/CCL8/F2R/CCL5/FGF2/F2RL1/PIK3CG/CCL15/CCL14/CCL19/CCR7/CCR8/CCL21/CCL7/CCR1/CXCR4/CCR4/VDR/CXCR3/CXCR5/EDNRA/AGT/CALCB/EPO/STC1/APLNR/OXTR/PTGER2/LCK	32
BP	GO:0042107	cytokine metabolic process	15/425	124/18670	1.48250371639713e-07	3.59433516935756e-06	2.63119864896975e-06	CD74/CYBB/TLR7/TLR8/IL1A/CD86/CARD11/BCL10/PTAFR/EREG/INHBA/LTB/TNFSF15/CD3E/CD28	15
BP	GO:0030217	T cell differentiation	21/425	240/18670	1.53510315674293e-07	3.69737674791834e-06	2.70662925004675e-06	CD74/HLA-DOA/HLA-G/IL7R/TNFSF4/CCL19/CCR7/CD86/VAV1/CARD11/BMP4/MDK/TNFSF9/IL2RA/TNFRSF18/LCK/CD3D/CD3E/CD3G/CD28/CTLA4	21
BP	GO:0045089	positive regulation of innate immune response	27/425	381/18670	2.07394614915579e-07	4.93240673868972e-06	3.61072113075347e-06	CTSS/HLA-E/HLA-G/PSMC1/PSMD6/ULBP3/ULBP2/RAET1L/REG3G/S100A14/MUC5AC/BPIFB1/TLR7/CCL5/TLR8/F2RL1/DMBT1/MARCO/KLRK1/CD14/VAV1/CARD11/BCL10/EREG/IFNK/NCR3/SH2D1A	27
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	16/425	145/18670	2.07481736617923e-07	4.93240673868972e-06	3.61072113075347e-06	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/LTA/IL7R/TNFSF4/CCL19/IL20RB/TNFRSF1B/CD28	16
BP	GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	8/425	30/18670	2.5465154953584e-07	6.01470530871427e-06	4.40300743713582e-06	HLA-E/ULBP3/ULBP2/RAET1L/KLRK1/VAV1/NCR3/SH2D1A	8
BP	GO:0045061	thymic T cell selection	7/425	21/18670	2.66081283056096e-07	6.24438190556647e-06	4.57113999096371e-06	CD74/CCR7/CARD11/CD3D/CD3E/CD3G/CD28	7
BP	GO:0050671	positive regulation of lymphocyte proliferation	15/425	130/18670	2.7747820798624e-07	6.47036763973008e-06	4.73657068409632e-06	CD74/HLA-DPB1/HLA-E/CCL5/CD40LG/TNFSF4/CCL19/CD86/CARD11/CD70/EPO/TNFSF9/IL2RA/CD3E/CD28	15
BP	GO:0033209	tumor necrosis factor-mediated signaling pathway	17/425	167/18670	2.79994954228687e-07	6.48773118627357e-06	4.74928150210685e-06	LTA/PSMC1/PSMD6/F2RL1/TNFSF11/ILK/CD40LG/TNFSF4/CD70/LTB/TNFRSF11B/TNFSF15/TNFSF9/TNFRSF17/TNFRSF18/TNFRSF1B/TNFRSF9	17
BP	GO:0032609	interferon-gamma production	14/425	113/18670	2.86217997253992e-07	6.59021438960292e-06	4.8243033499415e-06	HLA-DPB1/LTA/TLR7/ISG15/TLR8/F2RL1/KLRK1/CD14/TNFSF4/CCR7/INHBA/IL12RB2/IL20RB/CD3E	14
BP	GO:0002683	negative regulation of immune system process	30/425	463/18670	3.02980984590765e-07	6.93258365366743e-06	5.07493149189531e-06	CD74/HLA-DOA/HLA-E/HLA-G/PF4/BPIFB1/IDO1/BST2/F2RL1/KLRK1/IL7R/CD14/PDCD1/TNFSF4/CCL21/CCL25/PPARG/CD86/BCL10/C5/BMP4/GREM1/INHBA/MDK/IL13RA2/IL20RB/IL2RA/SDC4/TNFRSF21/CTLA4	30
BP	GO:0032946	positive regulation of mononuclear cell proliferation	15/425	131/18670	3.06935767982272e-07	6.97945246324906e-06	5.10924135523285e-06	CD74/HLA-DPB1/HLA-E/CCL5/CD40LG/TNFSF4/CCL19/CD86/CARD11/CD70/EPO/TNFSF9/IL2RA/CD3E/CD28	15
BP	GO:0042035	regulation of cytokine biosynthetic process	14/425	114/18670	3.19616936741442e-07	7.2229481815458e-06	5.28749006461151e-06	CD74/CYBB/TLR7/TLR8/IL1A/CD86/CARD11/BCL10/PTAFR/EREG/INHBA/LTB/CD3E/CD28	14
BP	GO:0071774	response to fibroblast growth factor	16/425	150/18670	3.31417677020977e-07	7.44368169063679e-06	5.44907591666392e-06	CXCL8/CXCL13/ANOS1/CCL5/FGF2/TNC/APLN/CCN2/FGF1/FGF12/FGF17/FGF18/FGF19/FGF20/KL/FGFR1	16
BP	GO:0050918	positive chemotaxis	11/425	68/18670	3.57012198533187e-07	7.96964426115853e-06	5.83410178090818e-06	CXCL8/CXCL10/CCL5/FGF2/F2RL1/CCL15/CCR4/BMP4/SCG2/VEGFC/MET	11
BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	13/425	100/18670	4.33330216851015e-07	9.61467832661555e-06	7.03833321915588e-06	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/LTA/TNFSF4/CCL19/CD28	13
BP	GO:0032649	regulation of interferon-gamma production	13/425	101/18670	4.87209478951622e-07	1.07450235086861e-05	7.86579158789366e-06	HLA-DPB1/LTA/TLR7/ISG15/TLR8/KLRK1/CD14/TNFSF4/CCR7/INHBA/IL12RB2/IL20RB/CD3E	13
BP	GO:0009615	response to virus	24/425	326/18670	5.00988688586065e-07	1.09827520294227e-05	8.03981847551291e-06	CXCL10/CXCL9/CCL8/DEFA3/LCN2/OASL/DUOX2/TLR7/ISG15/CCL5/TLR8/BST2/F2RL1/DMBT1/APOBEC3C/IRF9/OAS1/TNFSF4/CCL19/CCL22/CXCR4/IFNE/IFNK/IL2RA	24
BP	GO:0042269	regulation of natural killer cell mediated cytotoxicity	9/425	44/18670	5.277364224046e-07	1.14322073516168e-05	8.36883794109071e-06	HLA-E/HLA-G/ULBP3/ULBP2/RAET1L/KLRK1/VAV1/NCR3/SH2D1A	9
BP	GO:0071622	regulation of granulocyte chemotaxis	9/425	44/18670	5.277364224046e-07	1.14322073516168e-05	8.36883794109071e-06	CD74/CXCL8/S100A14/CCL5/CCL19/CCR7/CCL21/RAC2/MDK	9
BP	GO:0032753	positive regulation of interleukin-4 production	7/425	23/18670	5.39302285735355e-07	1.16140333416302e-05	8.50194191629854e-06	HLA-E/CD40LG/TNFSF4/CD86/IL20RB/CD3E/CD28	7
BP	GO:0002483	antigen processing and presentation of endogenous peptide antigen	6/425	15/18670	5.64927700608916e-07	1.20244204181933e-05	8.80236184669706e-06	HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H	6
BP	GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	6/425	15/18670	5.64927700608916e-07	1.20244204181933e-05	8.80236184669706e-06	HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H	6
BP	GO:0045580	regulation of T cell differentiation	15/425	139/18670	6.65057563643326e-07	1.40738482109724e-05	1.03026258414111e-05	CD74/HLA-DOA/HLA-G/IL7R/TNFSF4/CCL19/CD86/CARD11/BMP4/MDK/TNFSF9/IL2RA/TNFRSF18/CD28/CTLA4	15
BP	GO:0071887	leukocyte apoptotic process	13/425	104/18670	6.86580435739363e-07	1.44458102025391e-05	1.05749170562155e-05	CD74/IDO1/CCL5/IL7R/PDCD1/CCL19/CCR7/CCL21/BCL10/BMP4/IL2RA/TNFRSF21/CD3G	13
BP	GO:0002407	dendritic cell chemotaxis	7/425	24/18670	7.46513475669472e-07	1.55283286046928e-05	1.13673642886033e-05	CCL5/PIK3CG/CCL19/CCR7/CCL21/CCR1/CXCR4	7
BP	GO:0090023	positive regulation of neutrophil chemotaxis	7/425	24/18670	7.46513475669472e-07	1.55283286046928e-05	1.13673642886033e-05	CD74/CXCL8/CCL19/CCR7/CCL21/RAC2/MDK	7
BP	GO:0002821	positive regulation of adaptive immune response	13/425	105/18670	7.67633817196229e-07	1.58774429647197e-05	1.16229301134796e-05	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/LTA/TNFSF4/CCL19/CD28	13
BP	GO:0002715	regulation of natural killer cell mediated immunity	9/425	46/18670	7.87747168524039e-07	1.61114099662933e-05	1.1794203417008e-05	HLA-E/HLA-G/ULBP3/ULBP2/RAET1L/KLRK1/VAV1/NCR3/SH2D1A	9
BP	GO:0019731	antibacterial humoral response	9/425	46/18670	7.87747168524039e-07	1.61114099662933e-05	1.1794203417008e-05	HLA-E/CAMP/SLPI/DEFA3/DMBT1/IGHA1/IGHA2/IGHM/IGKV3-20	9
BP	GO:0002819	regulation of adaptive immune response	16/425	160/18670	7.98021844560067e-07	1.62308776274134e-05	1.1881658574561e-05	CD1A/CD1C/CD1E/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/HLA-H/LTA/IL7R/TNFSF4/CCL19/IL20RB/TNFRSF1B/CD28	16
BP	GO:0042089	cytokine biosynthetic process	14/425	123/18670	8.19204189988826e-07	1.6569649389774e-05	1.21296531998346e-05	CD74/CYBB/TLR7/TLR8/IL1A/CD86/CARD11/BCL10/PTAFR/EREG/INHBA/LTB/CD3E/CD28	14
BP	GO:0001667	ameboidal-type cell migration	29/425	461/18670	8.77260449833867e-07	1.76464313562735e-05	1.29179011294218e-05	CXCL13/S100P/S100A2/MMP9/FGF2/ILK/PTGS2/PPARG/SEMA3A/SEMA3C/SEMA3E/SEMA6D/SEMA7A/AGT/BMP4/BMP7/FGF1/FGF18/FGF19/GREM1/HBEGF/INSL3/SCG2/STC1/VEGFC/FGFR1/MET/NRP2/SDC4	29
BP	GO:0032735	positive regulation of interleukin-12 production	8/425	35/18670	9.26757879537778e-07	1.85402218414634e-05	1.3572191897056e-05	HLA-G/IDO1/CD40LG/TNFSF4/CCL19/CCR7/LTB/MDK	8
BP	GO:0061138	morphogenesis of a branching epithelium	17/425	182/18670	9.50448856828317e-07	1.88654832207176e-05	1.38102963757234e-05	FGF2/ILK/VDR/SEMA3A/SEMA3C/SEMA3E/TNC/EDNRA/AGT/AREG/BMP4/BMP7/EGF/FGF1/MDK/FGFR1/MET	17
BP	GO:2000107	negative regulation of leukocyte apoptotic process	9/425	47/18670	9.54894509706008e-07	1.88654832207176e-05	1.38102963757234e-05	CD74/IDO1/CCL5/IL7R/CCL19/CCR7/CCL21/BCL10/BMP4	9
BP	GO:0044344	cellular response to fibroblast growth factor stimulus	15/425	143/18670	9.58475793240503e-07	1.88654832207176e-05	1.38102963757234e-05	CXCL8/CXCL13/ANOS1/CCL5/FGF2/APLN/CCN2/FGF1/FGF12/FGF17/FGF18/FGF19/FGF20/KL/FGFR1	15
BP	GO:0019932	second-messenger-mediated signaling	28/425	439/18670	1.03591896165598e-06	2.02807450193719e-05	1.48463252258718e-05	CXCL8/CXCL10/CXCL9/PF4/CCL20/NOS2/TNFSF11/CCR7/CCR8/CCR1/CXCR4/CCR4/CXCR3/CXCR5/AGT/CALCB/GIP/GPHA2/NPPA/PTHLH/SCT/UCN2/UCN3/APLNR/LGR5/PTGER2/LAT/CD3E	28
BP	GO:1904894	positive regulation of STAT cascade	12/425	92/18670	1.16215910157649e-06	2.26311939939974e-05	1.65669488948137e-05	F2R/CCL5/IL7R/AGT/CSF2/EPO/GH1/IL24/LIF/OSM/PRL/TNFRSF18	12
