ID	conMean	treatMean	logFC	pValue	fdr
TNFRSF11B	0.717056081	5.855207315	3.029562391	2.42E-44	7.45E-44
TNFSF15	0.10722333	0.868869875	3.01852128	5.70E-50	2.90E-49
TNFSF9	0.13460091	2.871385781	4.414987108	4.06E-51	2.50E-50
UCN2	0.04182156	0.682799014	4.029142201	3.47E-42	9.57E-42
UCN3	1.362218744	10.40445295	2.93317082	2.21E-10	2.81E-10
VEGFC	0.81397978	3.777430313	2.214340278	7.08E-53	7.89E-52
AMHR2	2.934996777	0.191826399	-3.935485738	2.29E-52	2.01E-51
ANGPTL2	2.009270258	12.27865975	2.611409562	4.89E-52	3.83E-51
APLNR	1.150386617	7.53800225	2.712063429	4.48E-49	2.02E-48
CRHR2	0.737403276	0.113681685	-2.697453986	1.88E-42	5.26E-42
CSF2RB	0.724365457	3.394683192	2.228487286	2.82E-44	8.65E-44
ESR2	0.679323147	0.112659128	-2.592133809	4.30E-48	1.75E-47
FGFR1	36.72985879	6.665029354	-2.462270215	2.03E-52	1.81E-51
IL12RB2	1.406439373	0.131571516	-3.418128264	3.23E-52	2.68E-51
IL13RA2	0.109661463	1.354779737	3.626929789	9.54E-28	1.70E-27
IL2RB	0.417461402	2.160230127	2.37147029	2.78E-50	1.49E-49
IL1R2	1.121480168	5.913988652	2.398727367	8.38E-31	1.60E-30
IL20RB	0.335632441	3.506569782	3.385106364	8.08E-41	2.10E-40
IL21R	0.146739084	0.72456417	2.303860282	1.01E-37	2.36E-37
IL22RA1	37.29695059	9.048057648	-2.043377654	3.92E-43	1.14E-42
IL2RA	0.181166034	2.32445234	3.681506444	8.40E-49	3.67E-48
IL2RG	1.498645946	19.09359215	3.671357055	1.00E-50	5.76E-50
LGR5	0.076696828	1.445040361	4.235799058	7.54E-45	2.39E-44
LGR6	0.173630748	2.62178689	3.916456063	1.31E-43	3.88E-43
MET	2.261050112	13.64126978	2.59291307	2.34E-48	9.76E-48
NPR3	0.362447621	2.460751486	2.763254542	9.43E-46	3.19E-45
NR1I2	0.219565665	2.049311901	3.222415204	2.88E-25	4.86E-25
NRP2	0.952193485	5.366804019	2.494736543	4.29E-52	3.40E-51
OXTR	0.141915572	1.165295936	3.03759158	3.99E-51	2.46E-50
PTGER2	0.446199259	3.20665055	2.845307118	3.76E-50	1.96E-49
SDC1	4.829931446	64.27254325	3.734127943	1.53E-52	1.44E-51
SDC4	18.65446842	96.32297418	2.36835869	7.50E-49	3.30E-48
SSTR2	0.283621331	1.701556966	2.584817506	3.21E-19	4.79E-19
TNFRSF17	0.13238785	0.974390513	2.879729367	1.21E-28	2.19E-28
TNFRSF18	0.241017481	1.839532403	2.932129395	2.64E-48	1.09E-47
TNFRSF1B	2.705369124	11.83717112	2.129426988	9.66E-52	6.90E-51
TNFRSF21	4.133307175	36.45229155	3.140641022	1.17E-54	3.58E-53
TNFRSF9	0.092497453	0.492974407	2.414027206	4.82E-42	1.32E-41
VIPR2	4.497077161	0.303397039	-3.889708727	2.50E-53	3.59E-52
LCK	0.678359008	4.27825735	2.65690237	9.25E-49	4.02E-48
FCGR3A	2.973624649	14.29320796	2.265035293	1.64E-44	5.08E-44
NCR3	0.132541637	0.656707013	2.308804219	6.02E-38	1.41E-37
LAT	2.974997817	0.179052855	-4.054431182	6.56E-55	2.38E-53
SHC2	41.8984984	8.223599948	-2.349056551	2.19E-51	1.43E-50
SH2D1A	0.16204766	1.060966517	2.710889034	2.64E-40	6.72E-40
CD3D	0.942372375	5.612652536	2.574313596	4.56E-47	1.69E-46
CD3E	1.217552945	5.036814718	2.048527153	1.44E-41	3.88E-41
CD3G	0.230719257	0.933096048	2.01588717	6.22E-35	1.33E-34
PAK6	0.930311826	0.061605691	-3.916578839	4.71E-51	2.86E-50
CD28	0.103611743	0.769541567	2.89281173	2.48E-45	8.14E-45
ICOS	0.075305633	0.586941606	2.962387282	8.92E-40	2.22E-39
CTLA4	0.155602304	1.161413962	2.899946957	2.36E-44	7.29E-44
TRAC	1.524863657	7.971056445	2.386090693	2.03E-45	6.70E-45
TRAV2	0.059027383	0.424495632	2.846293424	5.18E-19	7.70E-19
TRAV4	0.062396811	0.516897005	3.050332645	1.37E-31	2.67E-31
TRAV8-2	0.040887666	0.380208436	3.21705294	3.03E-27	5.32E-27
TRAV8-3	0.047230938	0.583383406	3.626640245	1.69E-35	3.67E-35
TRAV8-4	0.043354619	0.378683785	3.126736042	9.01E-24	1.47E-23
TRAV8-6	0.052682084	0.398431935	2.918948951	8.29E-28	1.48E-27
TRAV9-2	0.037679085	0.433065174	3.522748325	1.80E-27	3.18E-27
TRAV12-1	0.054109369	0.50232074	3.214658529	8.23E-23	1.32E-22
TRAV12-2	0.069006465	0.546837837	2.986309644	4.61E-30	8.65E-30
TRAV12-3	0.062000934	0.473732554	2.933710949	2.20E-26	3.80E-26
TRAV13-1	0.075885091	0.722150261	3.25041068	1.37E-31	2.67E-31
TRAV13-2	0.045989723	0.390571302	3.086202551	3.74E-28	6.72E-28
TRAV17	0.041867083	0.388448485	3.213834964	3.26E-26	5.61E-26
TRAV19	0.067871928	0.490813249	2.854287283	2.60E-29	4.80E-29
TRAV21	0.070687355	0.526589022	2.89715338	5.94E-23	9.56E-23
TRAV29DV5	0.043312322	0.357711118	3.045945523	1.13E-17	1.64E-17
TRBC2	2.025892455	10.88090446	2.425168988	3.04E-44	9.32E-44
TRBV2	0.056761901	0.547460172	3.269759209	1.04E-25	1.78E-25
TRBV3-1	0.088258762	0.577804382	2.710769736	1.25E-21	1.97E-21
TRBV4-2	0.087249034	0.508134242	2.541998626	2.62E-23	4.24E-23
TRBV5-6	0.073804165	0.466451913	2.659954228	7.75E-16	1.09E-15
TRBV7-9	0.1732363	1.266384749	2.869902613	3.99E-36	8.81E-36
TRBV9	0.103666486	0.620036063	2.580402562	6.71E-25	1.12E-24
TRBV10-3	0.072550268	0.412129115	2.506043531	4.32E-17	6.20E-17
TRBV12-4	0.078532803	0.344444252	2.132903213	9.62E-16	1.35E-15
TRBV18	0.070491652	0.578150856	3.035921651	1.26E-27	2.24E-27
TRBV19	0.123682018	0.973661429	2.976784426	7.31E-35	1.56E-34
TRBV20-1	0.226296805	1.680373665	2.892493961	6.97E-40	1.74E-39
TRBV28	0.306607021	4.030943153	3.7166548	1.90E-52	1.72E-51
